date,secao,secao_nome,saldo,admissoes,fonte
2008-09-01,L,Atividades imobiliárias,896,3603,CAGED Antigo
2008-09-01,M,Atividades profissionais e científicas,7036,37213,CAGED Antigo
2008-09-01,N,Atividades administrativas e serviços,32188,192878,CAGED Antigo
2008-09-01,O,Administração pública,908,5159,CAGED Antigo
2008-09-01,P,Educação,8917,29290,CAGED Antigo
2008-09-01,Q,Saúde humana e serviço social,8157,36761,CAGED Antigo
2008-09-01,R,"Artes, cultura e esporte",1169,6571,CAGED Antigo
2008-09-01,S,Outros serviços,6015,33845,CAGED Antigo
2008-09-01,T,Serviços domésticos,51,589,CAGED Antigo
2008-09-01,U,Organismos internacionais,21,99,CAGED Antigo
2008-10-01,A,Agropecuária,-38381,97152,CAGED Antigo
2008-10-01,B,Indústria extrativa,266,5165,CAGED Antigo
2008-10-01,C,Indústria de transformação,6256,278369,CAGED Antigo
2008-10-01,D,Eletricidade e gás,171,1106,CAGED Antigo
2008-10-01,E,"Água, esgoto e resíduos",-996,5472,CAGED Antigo
2008-10-01,F,Construção,3081,173179,CAGED Antigo
2008-10-01,G,Comércio e reparação,56182,369272,CAGED Antigo
2008-10-01,H,Transporte e armazenagem,9820,71971,CAGED Antigo
2008-10-01,I,Alojamento e alimentação,7272,75516,CAGED Antigo
2008-10-01,J,Informação e comunicação,-7328,28895,CAGED Antigo
2008-10-01,K,Atividades financeiras,882,14834,CAGED Antigo
2008-10-01,L,Atividades imobiliárias,468,3418,CAGED Antigo
2008-10-01,M,Atividades profissionais e científicas,3848,35480,CAGED Antigo
2008-10-01,N,Atividades administrativas e serviços,10046,190891,CAGED Antigo
2008-10-01,O,Administração pública,-1189,4118,CAGED Antigo
2008-10-01,P,Educação,3529,22419,CAGED Antigo
2008-10-01,Q,Saúde humana e serviço social,6122,36102,CAGED Antigo
2008-10-01,R,"Artes, cultura e esporte",498,6254,CAGED Antigo
2008-10-01,S,Outros serviços,921,30926,CAGED Antigo
