date,faixa,admissoes,fonte
2011-06-01,Parcial (≤30h),61499,CAGED Antigo
2011-07-01,30–39h,81349,CAGED Antigo
2011-07-01,40h,40617,CAGED Antigo
2011-07-01,41–43h,12154,CAGED Antigo
2011-07-01,44h (jornada máxima),1495421,CAGED Antigo
2011-07-01,Parcial (≤30h),67322,CAGED Antigo
2011-08-01,30–39h,93165,CAGED Antigo
2011-08-01,40h,44998,CAGED Antigo
2011-08-01,41–43h,13709,CAGED Antigo
2011-08-01,44h (jornada máxima),1583198,CAGED Antigo
2011-08-01,Parcial (≤30h),95251,CAGED Antigo
2011-09-01,30–39h,92555,CAGED Antigo
2011-09-01,40h,40432,CAGED Antigo
2011-09-01,41–43h,12256,CAGED Antigo
2011-09-01,44h (jornada máxima),1545400,CAGED Antigo
2011-09-01,Parcial (≤30h),72383,CAGED Antigo
2011-10-01,30–39h,90804,CAGED Antigo
2011-10-01,40h,37359,CAGED Antigo
2011-10-01,41–43h,12186,CAGED Antigo
2011-10-01,44h (jornada máxima),1462097,CAGED Antigo
2011-10-01,Parcial (≤30h),62120,CAGED Antigo
2011-11-01,30–39h,86430,CAGED Antigo
2011-11-01,40h,36651,CAGED Antigo
2011-11-01,41–43h,11999,CAGED Antigo
2011-11-01,44h (jornada máxima),1429737,CAGED Antigo
2011-11-01,Parcial (≤30h),55605,CAGED Antigo
2011-12-01,30–39h,83315,CAGED Antigo
2011-12-01,40h,29359,CAGED Antigo
2011-12-01,41–43h,9842,CAGED Antigo
2011-12-01,44h (jornada máxima),1137568,CAGED Antigo
2011-12-01,Parcial (≤30h),44967,CAGED Antigo
2012-01-01,30–39h,83124,CAGED Antigo
2012-01-01,40h,42202,CAGED Antigo
2012-01-01,41–43h,12491,CAGED Antigo
2012-01-01,44h (jornada máxima),1508965,CAGED Antigo
2012-01-01,Parcial (≤30h),64708,CAGED Antigo
2012-02-01,30–39h,92471,CAGED Antigo
2012-02-01,40h,45213,CAGED Antigo
